FID,REPORTDATE,BLOCKADD,OFFENSE
27449,2008-11-21 00:00:00,3600 Block Larkwood Ct,Burglary
27450,2008-06-12 00:00:00,1200 Block Portland Pl,Vandalism
27451,2009-11-25 00:00:00,1000 Block Pearl St,Assault
27452,2008-09-30 00:00:00,800 Block 30th St,Motorcycle Theft
27453,2011-06-11 00:00:00,800 Block 30th St,Theft From Vehicle
27454,2011-08-05 00:00:00,1400 Block Walnut St,Vandalism
27455,2009-07-19 00:00:00,2900 Block Marine St,Theft From Vehicle
27456,2008-03-31 00:00:00,2900 Block E Aurora Ave,Theft From Vehicle
27457,2008-09-14 00:00:00,3000 Block Broadway,Assault
27458,2009-03-23 00:00:00,1100 Block University Ave,Vandalism
27459,2009-05-04 00:00:00,3800 Block Pearl St,Burglary
27460,2012-01-02 00:00:00,4700 Block Table Mesa Dr,Burglary
27461,2012-01-02 00:00:00,1100 Block Balsam Ave,Trespassing
27462,2009-05-27 00:00:00,1500 Block Broadway,Burglary
27463,2008-10-02 00:00:00,1500 Block Spruce St,Vandalism
27464,2009-05-04 00:00:00,900 Block Pearl St,Trespassing
27465,2010-07-02 00:00:00,14th St & Euclid Ave,Assault
27466,2012-12-12 00:00:00,2900 Block Pearl St,Vandalism
27467,2012-01-03 00:00:00,4200 Block Darley Ave,Trespassing
27468,2009-07-23 00:00:00,1100 Block 28th St,Burglary
27469,2009-05-13 00:00:00,900 Block 14th St,Burglary
27470,2009-02-02 00:00:00,2700 Block Glenwood Dr,Theft From Vehicle
27471,2012-05-06 00:00:00,1400 Block Canyon Blvd,Theft From Vehicle
27472,2010-12-14 00:00:00,1700 Block 13th St,Vandalism
27473,2010-06-20 00:00:00,2nd St & Denver St,Sex Assault
27474,2012-05-06 00:00:00,2900 Block Baseline Rd,Assault
27475,2008-01-01 00:00:00,2800 Block Kalmia Ave,Trespassing
27476,2011-08-03 00:00:00,1300 Block Broadway,Assault
27477,2008-06-12 00:00:00,3800 Block 47th St,Auto Theft
27478,2008-04-01 00:00:00,1100 Block Walnut St,Trespassing
27479,2008-02-25 00:00:00,3500 Block 22nd St,Incident
27480,2011-08-03 00:00:00,3100 Block 7th St,Incident
27481,2009-10-27 00:00:00,1000 Block 11th St,Vandalism
27482,2009-05-09 00:00:00,2900 Block Baseline Rd,Trespassing
27483,2010-05-06 00:00:00,1900 Block Mapleton Ave,Theft From Vehicle
27484,2009-04-08 00:00:00,3200 Block Walnut St,Vandalism
27485,2017-11-29 00:00:00,1300 Block Broadway,Trespassing
27486,2008-08-10 00:00:00,2500 Block Vassar Dr,Burglary
27487,2008-01-23 00:00:00,4800 Block Thunderbird Dr,Assault
27488,2008-06-17 00:00:00,3300 Block 34th St,Theft From Vehicle
27489,2009-06-06 00:00:00,2900 Block Baseline Rd,Theft From Vehicle
27490,2009-03-04 00:00:00,1300 Block Spruce St,Vandalism
27491,2011-08-12 00:00:00,1200 Block Pleasant St,Burglary
27492,2009-07-31 00:00:00,2000 Block 10th St,Burglary
27493,2010-12-13 00:00:00,71st St & Lookout Rd,Incident
27494,2009-12-15 00:00:00,4000 Block Old Westbury Ct,Burglary
27495,2012-05-04 00:00:00,2200 Block Columbine Ave,Vandalism
27496,2011-03-05 00:00:00,Arapahoe Ave & Lincoln Pl,Robbery
27497,2008-10-06 00:00:00,11th St & College Ave,Sex Assault
27498,2012-10-16 00:00:00,3000 Block Folsom St,Auto Theft
27499,2008-10-20 00:00:00,2200 Block Mariposa Ave,Vandalism
27500,2009-06-05 00:00:00,1100 Block 13th St,Assault
27501,2008-06-14 00:00:00,800 Block 29th St,Vandalism
27502,2008-08-03 00:00:00,900 Block Pleasant St,Burglary
27503,2009-08-04 00:00:00,4500 Block Broadway,Vandalism
27504,2010-10-14 00:00:00,2600 Block Juniper Ave,Theft From Vehicle
27505,2009-11-07 00:00:00,3100 Block 28th St,Vandalism
27506,2008-05-21 00:00:00,900 Block Baseline Rd,Theft From Vehicle
27507,2009-04-17 00:00:00,600 Block Manhatan Dr,Vandalism
27508,2008-12-21 00:00:00,4500 Block 19th St,Vandalism
27509,2008-05-23 00:00:00,2500 Block Pine St,Burglary
27510,2008-12-10 00:00:00,2000 Block Iris Ave,Theft From Vehicle
27511,2010-07-11 00:00:00,3200 Block Oneal Cr,Vandalism
27512,2009-09-01 00:00:00,1000 Block Canyon Blvd,Vandalism
27513,2009-09-23 00:00:00,1000 Block Adams Cir,Theft From Vehicle
27514,2009-10-11 00:00:00,500 Block 27th Way,Trespassing
27515,2010-03-28 00:00:00,2800 Block Arapahoe Ave,Vandalism
27516,2008-07-27 00:00:00,2900 Block Marine St,Vandalism
27517,2010-07-21 00:00:00,15th St & Pearl St,Vandalism
27518,2010-07-27 00:00:00,4600 Block Broadway,Theft From Vehicle
27519,2010-07-31 00:00:00,3800 Block Colorado Ave,Vandalism
27520,2012-01-21 00:00:00,3100 Block 10th St,Burglary
27521,2010-07-15 00:00:00,28th St & Pennsylvania Ave,Theft From Vehicle
27522,2010-03-08 00:00:00,2900 Block E Aurora Ave,Vandalism
27523,2012-05-25 00:00:00,20th St & Baseline Rd,Incident
27524,2010-06-23 00:00:00,3100 Block Airport Rd,Indecent Exposure
27525,2008-04-22 00:00:00,1100 Block 30th St,Theft From Vehicle
27526,2008-12-09 00:00:00,2800 Block E Aurora Ave,Vandalism
27527,2011-11-07 00:00:00,3100 Block 11th St,Burglary
27528,2008-09-15 00:00:00,3100 Block Westwood Ct,Burglary
27529,2008-09-26 00:00:00,14th St & Walnut St,Theft From Vehicle
27530,2008-08-14 00:00:00,3100 Block Madison Ave,Burglary
27531,2008-05-14 00:00:00,1000 Block Rose Hill Dr,Vandalism
27532,2008-08-25 00:00:00,900 Block Pennsylvania Ave,Vandalism
27533,2009-09-03 00:00:00,1200 Block Elder Ave,Vandalism
27534,2008-05-14 00:00:00,1300 Block Hartford Dr,Auto Theft
27535,2009-06-17 00:00:00,1 Block Benthaven Pl,Burglary
27536,2008-10-29 00:00:00,5000 Block Butte St,Burglary
27537,2010-04-01 00:00:00,200 Block Manhattan Dr,Vandalism
27538,2008-04-26 00:00:00,600 Block Emporia Rd,Vandalism
27539,2008-08-04 00:00:00,3100 Block 34th St,Vandalism
27540,2008-07-04 00:00:00,2900 Block 5th St,Vandalism
27541,2009-09-08 00:00:00,34th St & Valmont Rd,Vandalism
27542,2010-04-22 00:00:00,3000 Block Fulton Cr,Theft Of Car Parts
27543,2008-05-27 00:00:00,800 Block 20th St,Vandalism
27544,2008-05-17 00:00:00,1800 Block 19th St,Vandalism
27545,2009-08-31 00:00:00,5300 Block Centennial Trl,Burglary
27546,2011-12-13 00:00:00,3100 Block Bucknell Ct,Vandalism
27547,2008-05-20 00:00:00,500 Block Mohawk Dr,Vandalism
27548,2010-03-16 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
27549,2008-08-15 00:00:00,2600 Block Mapleton Ave,Vandalism
27550,2010-03-02 00:00:00,1600 Block 30th St,Trespassing
27551,2010-11-17 00:00:00,3100 Block Bucknell Ct,Vandalism
27552,2010-05-06 00:00:00,2800 Block Baseline Rd,Trespassing
27553,2012-06-07 00:00:00,3100 Block Big Horn St,Auto Theft
27554,2009-08-05 00:00:00,200 Block Pearl St,Auto Theft
27555,2009-01-31 00:00:00,27th St & Pine St,Incident
27556,2008-07-19 00:00:00,700 Block Marine St,Burglary
27557,2008-02-14 00:00:00,1800 Block 15th St,Incident
27558,2008-08-26 00:00:00,3100 Block Bluff St,Burglary
27559,2011-10-18 00:00:00,900 Block Broadway,Burglary
27560,2010-01-05 00:00:00,700 Block 35th St,Burglary
27561,2009-08-09 00:00:00,11th St & Spruce St,Theft From Vehicle
27562,2010-03-26 00:00:00,1400 Block Canyon Bv,Trespassing
27563,2010-11-02 00:00:00,2900 Block E Aurora Ave,Vandalism
27564,2008-02-12 00:00:00,55th St & Pearl Pkwy,Robbery
27565,2012-01-03 00:00:00,2500 Block Table Mesa Dr,Vandalism
27566,2008-07-03 00:00:00,Arapahoe Ave & Broadway,Indecent Exposure
27567,2012-12-11 00:00:00,1000 Block Kent St,Vandalism
27568,2009-02-02 00:00:00,2800 Block Pearl St,Vandalism
27569,2008-05-17 00:00:00,1600 Block Hawthorn Av,Vandalism
27570,2009-08-03 00:00:00,900 Block Baseline Rd,Indecent Exposure
27571,2011-08-09 00:00:00,1000 Block 13th St,Trespassing
27572,2011-07-19 00:00:00,1000 Block Adams Cr,Vandalism
27573,2008-06-27 00:00:00,1900 Block 18th St,Burglary
27574,2009-08-22 00:00:00,1900 Block 13th St,Burglary
27575,2008-12-04 00:00:00,2400 Block Keystone Ct,Burglary
27576,2011-07-19 00:00:00,3000 Block 7th St,Vandalism
27577,2009-03-10 00:00:00,5400 Block Tenino Ave,Burglary
27578,2009-11-25 00:00:00,1300 Block Pearl St,Burglary
27579,2009-02-20 00:00:00,1000 Block University Ave,Vandalism
27580,2008-06-16 00:00:00,1400 Block Pearl St,Trespassing
27581,2011-02-28 00:00:00,4900 Block Baseline Rd,Theft From Vehicle
27582,2008-11-25 00:00:00,2700 Block Jay Rd,Theft From Vehicle
27583,2009-10-23 00:00:00,14th St & Euclid Ave,Vandalism
27584,2011-06-16 00:00:00,1700 Block Mapleton Ave,Burglary
27585,2009-03-28 00:00:00,2700 Block Baseline Rd,Auto Theft
27586,2010-02-05 00:00:00,700 Block 20th St,Sex Assault
27587,2008-12-18 00:00:00,5500 Block Stonewall Pl,Sex Assault
27588,2008-08-16 00:00:00,1500 Block Lehigh St,Vandalism
27589,2011-10-09 00:00:00,3000 Block 28th St,Vandalism
27590,2009-06-07 00:00:00,3300 Block Chisholm Trl,Vandalism
27591,2012-07-13 00:00:00,19th St & Iris Ave,Recovery
27592,2009-12-01 00:00:00,1700 Block Quince Ave,Trespassing
27593,2009-04-14 00:00:00,1700 Block Sumac Ave,Vandalism
27594,2011-10-08 00:00:00,900 Block Lincoln Pl,Sex Assault
27595,2008-06-20 00:00:00,1500 Block 28th St,Trespassing
27596,2009-08-31 00:00:00,4600 Block Ingram Ct,Vandalism
27597,2011-09-13 00:00:00,1700 Block Arapahoe Ave,Vandalism
27598,2008-02-20 00:00:00,4800 Block Broadway,Trespassing
27599,2012-03-07 00:00:00,1800 Block Folsom St,Vandalism
27600,2008-12-17 00:00:00,17th St & Aurora Ave,Vandalism
27601,2008-01-15 00:00:00,2100 Block Goss Cr,Vandalism
27602,2009-07-02 00:00:00,2000 Block King Ave,Theft From Vehicle
27603,2009-06-17 00:00:00,1900 Block Goss St,Vandalism
27604,2008-07-18 00:00:00,500 Block 30th St,Trespassing
27605,2008-08-08 00:00:00,1100 Block Hawthorne Ave,Vandalism
27606,2008-03-01 00:00:00,2700 Block Arapahoe Ave,Trespassing
27607,2009-04-24 00:00:00,1600 Block 30th St,Theft From Vehicle
27608,2009-03-07 00:00:00,2900 Block Glenwood Dr,Theft From Vehicle
27609,2008-06-26 00:00:00,2800 Block Wilderness Pl,Vandalism
27610,2009-03-10 00:00:00,1300 Block Spruce St,Vandalism
27611,2008-03-25 00:00:00,1400 Block Hawthorne Ave,Theft From Vehicle
27612,2008-06-25 00:00:00,4300 Block 13th St,Sex Assault
27613,2008-03-07 00:00:00,900 Block 10th St,Theft From Vehicle
27614,2008-06-07 00:00:00,2300 Block Spruce St,Sex Assault
27615,2009-10-30 00:00:00,3100 Block 28th St,Assault
27616,2012-07-28 00:00:00,800 Block Mcintire St,Theft From Vehicle
27617,2012-05-12 00:00:00,19th St & Cascade Ave,Vandalism
27618,2009-09-26 00:00:00,2000 Block Baseline Rd,Vandalism
27619,2009-10-09 00:00:00,1400 Block Violet Ave,Assault
27620,2012-09-21 00:00:00,3100 Block Madison Ave,Vandalism
27621,2009-11-20 00:00:00,2400 Block Central Ave,Incident
27622,2009-09-24 00:00:00,5600 Block Arapahoe Ave,Incident
27623,2009-04-28 00:00:00,1000 Block Lee Hill Dr,Burglary
27624,2008-01-14 00:00:00,2200 Block Canyon Blvd,Vandalism
27625,2009-06-13 00:00:00,3400 Block Madison Ave,Auto Theft
27626,2008-04-27 00:00:00,1650 Block Broadway,Trespassing
27627,2009-01-27 00:00:00,2000 Block Walnut St,Trespassing
27628,2012-12-13 00:00:00,3600 Block Table Mesa Dr,Vandalism
27629,2010-07-15 00:00:00,00 Block S 32nd St,Theft From Vehicle
27630,2008-10-30 00:00:00,1500 Block 30th St,Vandalism
27631,2009-04-07 00:00:00,700 Block Gilpin Dr,Theft From Vehicle
27632,2010-04-30 00:00:00,13th St & College Ave,Assault
27633,2011-08-18 00:00:00,14th St & Canyon Blvd,Incident
27634,2012-04-13 00:00:00,4500 Block 19th St,Assault
27635,2010-05-11 00:00:00,2800 Block Arapahoe Ave,Trespassing
27636,2012-06-15 00:00:00,8th St & Lee Hill Dr,Vandalism
27637,2009-08-17 00:00:00,9th St & Aurora Ave,Theft From Vehicle
27638,2008-03-07 00:00:00,1900 Block Tyler Rd,Auto Theft
27639,2009-05-04 00:00:00,600 Block Mohawk Dr,Vandalism
27640,2008-03-04 00:00:00,5000 Block Gallatin Pl,Incident
27641,2012-04-13 00:00:00,9th St & Dellwood Ave,Vandalism
27642,2010-03-18 00:00:00,600 Block S Lashley Ln,Theft From Vehicle
27643,2008-03-27 00:00:00,900 Block Pine St,Auto Theft
27644,2009-02-22 00:00:00,1900 Block Orchard Ave,Vandalism
27645,2008-04-12 00:00:00,1600 Block Broadway,Incident
27646,2008-11-05 00:00:00,1100 Block University Ave,Incident
27647,2008-07-29 00:00:00,4800 Block Thunderbird Cir,Theft From Vehicle
27648,2017-12-22 00:00:00,15th St & Pearl St,Trespassing
27649,2009-08-13 00:00:00,2800 Block 7th St,Burglary
27650,2009-10-25 00:00:00,00 Block S Boulder Cir,Theft From Vehicle
27651,2008-04-06 00:00:00,1400 Block Pine St,Assault
27652,2010-08-06 00:00:00,1000 Block Lincoln Pl,Assault
27653,2011-06-24 00:00:00,500 Block University Ave,Theft From Vehicle
27654,2012-12-03 00:00:00,Iris Walk Ct & Tumwater Ln,Theft From Vehicle
27655,2012-01-20 00:00:00,1100 Block University Ave,Theft From Vehicle
27656,2008-02-12 00:00:00,2100 Block 9th St,Incident
27657,2008-02-26 00:00:00,1500 Block Pine St,Motorcycle Theft
27658,2008-06-25 00:00:00,4800 Block Broadway,Burglary
27659,2008-04-06 00:00:00,4900 Block Baseline Rd,Burglary
27660,2008-03-24 00:00:00,4600 Block Table Mesa Dr,Vandalism
27661,2008-08-28 00:00:00,1000 Block 10th St,Assault
27662,2009-01-23 00:00:00,2400 Block Spruce St,Burglary
27663,2012-05-22 00:00:00,2600 Block Mapleton Ave,Trespassing
27664,2010-03-24 00:00:00,1100 Block College Ave,Vandalism
27665,2009-12-19 00:00:00,2400 Block Mapleton Ave,Vandalism
27666,2008-09-05 00:00:00,3000 Block Valmont Rd,Burglary
27667,2008-12-19 00:00:00,700 Block Mohawk Dr,Incident
27668,2010-01-21 00:00:00,700 Block Toedtli Dr,Theft Of Car Parts
27669,2012-12-03 00:00:00,1000 Block University Ave,Burglary
27670,2008-08-24 00:00:00,900 Block Marine St,Sex Assault
27671,2011-08-01 00:00:00,2200 Block Walnut St,Vandalism
27672,2011-11-06 00:00:00,1100 Block 11th St,Vandalism
27673,2009-03-31 00:00:00,700 Block 29th St,Burglary
27674,2011-08-27 00:00:00,900 Block 17th St,Burglary
27675,2010-07-16 00:00:00,900 Block Miami Wy,Theft From Vehicle
27676,2011-07-11 00:00:00,Crime occurred at an unknown location,Theft From Vehicle
27677,2012-01-20 00:00:00,1000 Block 14th St,Trespassing
27678,2010-08-29 00:00:00,4100 Block E Aurora Ave,Vandalism
27679,2009-09-03 00:00:00,1100 Block 9th St,Vandalism
27680,2011-01-07 00:00:00,3100 Block Airport Rd,Assault
27681,2008-01-12 00:00:00,30th St & Arapahoe Ave,Incident
27682,2008-06-06 00:00:00,700 Block S Lashley Ln,Theft From Vehicle
27683,2011-08-31 00:00:00,1100 Block 13th St,Vandalism
27684,2008-07-30 00:00:00,1500 Block Broadway,Burglary
27685,2010-11-13 00:00:00,1100 Block Walnut St,Vandalism
27686,2008-04-28 00:00:00,3100 Block Gamow Ln,Theft From Vehicle
27687,2012-05-04 00:00:00,3000 Block 28th St,Indecent Exposure
27688,2010-03-12 00:00:00,1700 Block 48th St,Vandalism
27689,2008-12-02 00:00:00,1600 Block 28th St,Theft From Vehicle
27690,2008-08-16 00:00:00,1700 Block 28th St,Assault
27691,2009-11-01 00:00:00,2700 Block Juniper Ave,Burglary
27692,2009-08-23 00:00:00,1600 Block Pine St,Vandalism
27693,2012-12-04 00:00:00,1100 Block 12th St,Vandalism
27694,2012-05-04 00:00:00,100 Block Iroquois Dr,Theft From Vehicle
27695,2008-01-05 00:00:00,2800 Block Pearl St,Trespassing
27696,2010-06-03 00:00:00,2900 Block Marine St,Theft From Vehicle
27697,2009-01-31 00:00:00,1100 Block 11th St,Vandalism
27698,2010-09-12 00:00:00,800 Block 14th St,Burglary
27699,2011-06-05 00:00:00,1100 Block Pennsylvania Ave,Burglary
27700,2008-10-31 00:00:00,2800 Block Kalmia Ave,Theft From Vehicle
27701,2010-05-28 00:00:00,1700 Block Walnut St,Trespassing
27702,2012-07-13 00:00:00,1400 Block Greenbriar Blvd,Burglary
27703,2009-10-21 00:00:00,6500 Block Lookout Rd,Theft From Vehicle
27704,2008-01-03 00:00:00,3600 Block Iris Ave,Theft From Vehicle
27705,2010-03-23 00:00:00,2000 Block Pearl St,Vandalism
27706,2012-12-12 00:00:00,4300 Block Butler Cir,Burglary
27707,2008-11-03 00:00:00,2100 Block 30th St,Trespassing
27708,2012-11-01 00:00:00,3300 Block Talisman Ct,Vandalism
27709,2009-05-04 00:00:00,1800 Block 33rd St,Vandalism
27710,2009-10-31 00:00:00,1000 Block Pearl St,Assault
27711,2008-09-13 00:00:00,11th St & Spruce St,Theft From Vehicle
27712,2008-11-03 00:00:00,700 Block 19th St,Vandalism
27713,2009-07-12 00:00:00,700 Block Mapleton Ave,Vandalism
27714,2008-08-11 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
27715,2011-02-18 00:00:00,6700 Block Lookout Rd,Robbery
27716,2008-01-11 00:00:00,1800 Block 26th St,Robbery
27717,2008-02-03 00:00:00,2600 Block Sherwood Cir,Theft From Vehicle
27718,2008-02-29 00:00:00,4800 Block Kellogg Cr,Vandalism
27719,2008-02-28 00:00:00,1600 Block Arapahoe Ave,Sex Assault
27720,2010-06-01 00:00:00,2000 Block Iris Ave,Vandalism
27721,2009-09-08 00:00:00,1900 Block Walnut St,Burglary
27722,2009-08-26 00:00:00,4900 Block Broadway,Burglary
27723,2011-07-07 00:00:00,1700 Block 14th St,Incident
27724,2009-06-04 00:00:00,1600 Block 29th St,Trespassing
27725,2009-06-14 00:00:00,1300 Block Pearl St,Burglary
27726,2009-08-08 00:00:00,3000 Block 28th St,Indecent Exposure
27727,2012-05-05 00:00:00,1000 Block 11th St,Vandalism
27728,2009-07-26 00:00:00,2300 Block Canyon Blvd,Theft From Vehicle
27729,2009-07-04 00:00:00,2600 Block Briarwood Dr,Vandalism
27730,2008-05-30 00:00:00,2000 Block Spruce St,Incident
27731,2008-02-21 00:00:00,5700 Block Central Ave,Burglary
27732,2008-09-24 00:00:00,1800 Block Joliet Way,Burglary
27733,2011-07-07 00:00:00,3900 Block Britting Av,Burglary
27734,2012-11-01 00:00:00,10th St & Marine St,Robbery
27735,2011-12-13 00:00:00,2900 Block Pearl St,Theft From Vehicle
27736,2009-01-25 00:00:00,5500 Block Stonewall Pl,Auto Theft
27737,2009-01-03 00:00:00,2100 Block Walnut St,Theft From Vehicle
27738,2008-03-04 00:00:00,1100 Block Balsam Ave,Recovery
27739,2008-05-23 00:00:00,2500 Block Woodstock Pl,Vandalism
27740,2012-07-28 00:00:00,1400 Block Pearl St,Assault
27741,2008-04-25 00:00:00,2500 Block Sumac Ave,Burglary
27742,2008-07-25 00:00:00,2800 Block 29th St,Assault
27743,2011-09-03 00:00:00,1300 Block Arapahoe Ave,Vandalism
27744,2009-02-11 00:00:00,3300 Block 19th St,Auto Theft
27745,2012-08-05 00:00:00,3100 Block Broadway,Trespassing
27746,2011-01-15 00:00:00,6100 Block Ben Pl,Auto Theft
27747,2010-07-28 00:00:00,3300 Block Madison Ave,Theft From Vehicle
27748,2010-09-11 00:00:00,600 Block Wingate Ave,Burglary
27749,2009-11-19 00:00:00,1300 Block Gillaspie Dr,Vandalism
27750,2013-01-14 00:00:00,2400 Block 9th St,Vandalism
27751,2010-12-06 00:00:00,3600 Block 19th St,Vandalism
27752,2008-03-24 00:00:00,1800 Block 22nd St,Burglary
27753,2011-07-19 00:00:00,5800 Block Orchard Creek Ln,Trespassing
27754,2010-07-21 00:00:00,1100 Block Pennsylvania Ave,Vandalism
27755,2012-05-27 00:00:00,1000 Block Hawthorne Ave,Vandalism
27756,2008-09-04 00:00:00,5000 Block Butte St,Assault
27757,2008-01-26 00:00:00,1000 Block Kent St,Burglary
27758,2011-11-28 00:00:00,600 Block 17th St,Vandalism
27759,2012-05-01 00:00:00,3700 Block Baseline Rd,Vandalism
27760,2008-07-26 00:00:00,3100 Block 34th St,Auto Theft
27761,2008-12-13 00:00:00,5000 Block Valmont Rd,Trespassing
27762,2008-08-01 00:00:00,4400 Block Laguna Pl,Incident
27763,2010-05-29 00:00:00,3600 Block Arapahoe Ave,Theft From Vehicle
27764,2008-07-04 00:00:00,900 Block Grandview Ave,Vandalism
27765,2010-06-15 00:00:00,5400 Block White Pl,Burglary
27766,2009-04-11 00:00:00,500 Block Aztec Dr,Vandalism
27767,2009-12-31 00:00:00,61st St & Valmont Rd,Incident
27768,2008-02-25 00:00:00,2600 Block Taft Dr,Vandalism
27769,2009-08-03 00:00:00,2800 Block Shadow Creek Dr,Auto Theft
27770,2009-05-01 00:00:00,1700 Block 30th St,Vandalism
27771,2010-07-10 00:00:00,2900 Block Bixby Ave,Burglary
27772,2008-04-20 00:00:00,2700 Block Moorhead Ave,Sex Assault
27773,2009-07-08 00:00:00,Crime occurred at an unknown location,Auto Theft
27774,2008-07-11 00:00:00,4400 Block Grinnell Ave,Theft From Vehicle
27775,2008-01-14 00:00:00,3100 Block Folsom St,Theft From Vehicle
27776,2008-12-03 00:00:00,1700 Block Arapahoe Ave,Vandalism
27777,2008-05-05 00:00:00,Crime occurred at an unknown location,Vandalism
27778,2010-04-22 00:00:00,17th St & Broadway,Vandalism
27779,2011-08-02 00:00:00,1300 Block College Ave,Vandalism
27780,2011-12-02 00:00:00,1300 Block Pearl St,Trespassing
27781,2009-01-08 00:00:00,900 Block University Ave,Burglary
27782,2010-09-15 00:00:00,1500 Block Broadway,Trespassing
27783,2008-08-22 00:00:00,3200 Block Longwood Ave,Vandalism
27784,2008-04-08 00:00:00,2500 Block Arapahoe Ave,Burglary
27785,2010-03-08 00:00:00,1000 Block Canyon Bv,Trespassing
27786,2012-10-05 00:00:00,1100 Block Lincoln Pl,Burglary
27787,2010-01-14 00:00:00,1800 Block Sumac Ave,Incident
27788,2010-01-08 00:00:00,3100 Block 29th St,Theft From Vehicle
27789,2009-05-15 00:00:00,3100 Block 14th St,Burglary
27790,2010-12-09 00:00:00,Alpine Ave & Broadway,Incident
27791,2009-07-25 00:00:00,4000 Block Nevis St,Burglary
27792,2009-03-15 00:00:00,4700 Block Baseline Rd,Robbery
27793,2008-06-27 00:00:00,2000 Block Bluebell Ave,Vandalism
27794,2010-08-30 00:00:00,1600 Block Arapahoe Ave,Vandalism
27795,2009-03-07 00:00:00,2900 Block Glenwood Dr,Theft From Vehicle
27796,2011-02-22 00:00:00,2800 Block Bluff St,Burglary
27797,2010-07-22 00:00:00,2900 Block 5th St,Burglary
27798,2015-10-02 00:00:00,1100 Block Lincoln Pl,Trespassing
27799,2009-09-23 00:00:00,1100 Block Marine St,Vandalism
27800,2009-11-30 00:00:00,2900 Block 19th St,Vandalism
27801,2011-08-10 00:00:00,1700 Block 21st St,Incident
27802,2011-09-03 00:00:00,6th St & Canyon Blvd,Incident
27803,2008-12-26 00:00:00,900 Block Pennsylvania Ave,Burglary
27804,2008-04-06 00:00:00,2800 Block Pearl St,Incident
27805,2011-01-15 00:00:00,4700 Block W Moorhead Cr,Theft From Vehicle
27806,2011-11-10 00:00:00,2400 Block 23rd St,Trespassing
27807,2009-02-14 00:00:00,1500 Block Broadway,Burglary
27808,2009-04-26 00:00:00,2100 Block Mesa Dr,Vandalism
27809,2009-03-01 00:00:00,700 Block 36th St,Theft From Vehicle
27810,2009-11-24 00:00:00,2500 Block Sumac Ave,Vandalism
27811,2008-02-27 00:00:00,3000 Block Corona Tr,Indecent Exposure
27812,2008-04-05 00:00:00,3500 Block Spring Creek Pl,Vandalism
27813,2010-07-02 00:00:00,3200 Block 28th St,Vandalism
27814,2012-01-21 00:00:00,3000 Block Madison Ave,Auto Theft
27815,2009-03-09 00:00:00,1100 Block University Ave,Burglary
27816,2012-12-21 00:00:00,900 Block Baseline Rd,Theft From Vehicle
27817,2010-07-02 00:00:00,2800 Block Baseline Rd,Trespassing
27818,2008-11-14 00:00:00,1500 Block Bradley Dr,Vandalism
27819,2012-07-14 00:00:00,1100 Block Pleasant St,Auto Theft
27820,2008-12-24 00:00:00,1100 Block Balsam Ave,Trespassing
27821,2008-07-23 00:00:00,600 Block Pennsylvania Ave,Theft From Vehicle
27822,2008-05-11 00:00:00,3000 Block 17th St,Theft From Vehicle
27823,2009-05-20 00:00:00,2400 Block Pine St,Vandalism
27824,2009-12-28 00:00:00,2200 Block Central Ave,Incident
27825,2008-01-10 00:00:00,1900 Block 28th St,Vandalism
27826,2009-04-30 00:00:00,23rd St & Bluff St,Theft From Vehicle
27827,2012-04-13 00:00:00,800 Block Chinle Ave,Incident
27828,2009-11-10 00:00:00,1100 Block Linden Av,Theft From Vehicle
27829,2011-12-07 00:00:00,5000 Block Pennsylvania Ave,Vandalism
27830,2011-09-23 00:00:00,2200 Block Mariposa Ave,Burglary
27831,2010-01-26 00:00:00,1600 Block Arapahoe Ave,Vandalism
27832,2008-10-29 00:00:00,16th St & Baseline Rd,Incident
27833,2010-04-28 00:00:00,800 Block University Ave,Vandalism
27834,2010-03-31 00:00:00,3300 Block 28th St,Trespassing
27835,2009-08-25 00:00:00,2900 Block 23rd St,Burglary
27836,2009-11-02 00:00:00,1000 Block 10th St,Vandalism
27837,2012-08-14 00:00:00,2000 Block 5th St,Theft From Vehicle
27838,2009-10-20 00:00:00,1400 Block Lincoln Pl,Burglary
27839,2008-06-25 00:00:00,5000 Block Butte St,Trespassing
27840,2008-01-14 00:00:00,1400 Block Spruce St,Auto Theft
27841,2010-12-10 00:00:00,2100 Block Mariposa Ave,Burglary
27842,2008-04-26 00:00:00,3300 Block Sentinel Dr,Theft From Vehicle
27843,2008-07-21 00:00:00,1600 Block Redwood Ave,Auto Theft
27844,2009-11-03 00:00:00,3100 Block Broadway,Vandalism
27845,2008-03-31 00:00:00,3300 Block Oneal Py,Theft From Vehicle
27846,2010-01-04 00:00:00,2900 Block Pearl St,Trespassing
27847,2009-08-21 00:00:00,1200 Block Pearl St,Vandalism
27848,2012-07-13 00:00:00,600 Block S Broadway,Auto Theft
27849,2012-07-28 00:00:00,900 Block Pennsylvania Ave,Assault
27850,2012-07-20 00:00:00,1600 Block Broadway,Incident
27851,2008-12-09 00:00:00,1700 Block 15th St,Incident
27852,2008-05-28 00:00:00,4900 Block Broadway,Incident
27853,2012-11-17 00:00:00,2500 Block Arapahoe Ave,Burglary
27854,2010-07-18 00:00:00,200 Block Pearl St,Trespassing
27855,2009-01-19 00:00:00,4500 Block Laguna Pl,Vandalism
27856,2010-01-09 00:00:00,1200 Block College Ave,Burglary
