FID,REPORTDATE,BLOCKADD,OFFENSE
365,2009-01-03 00:00:00,5300 Block Valmont Rd,Vandalism
366,2009-09-02 00:00:00,5500 Block Jewel Creek Ct,Sex Assault
367,2009-05-26 00:00:00,1000 Block Canyon Bv,Vandalism
368,2009-03-24 00:00:00,2900 Block Baseline Rd,Theft From Vehicle
369,2009-05-25 00:00:00,2100 Block Walnut St,Theft From Vehicle
370,2009-06-19 00:00:00,9th St & Mapleton Ave,Robbery
371,2008-08-12 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
372,2008-05-28 00:00:00,4900 Block Twin Lakes Rd,Vandalism
373,2008-02-25 00:00:00,3700 Block Martin Dr,Vandalism
374,2012-10-28 00:00:00,900 Block Pennsylvania Ave,Burglary
375,2012-10-19 00:00:00,1600 Block Broadway,Burglary
376,2009-12-16 00:00:00,4700 Block Franklin Dr,Burglary
377,2009-06-06 00:00:00,Arapahoe Av & Foothills Py,Trespassing
378,2008-07-20 00:00:00,1500 Block Harrison Ave,Sex Assault
379,2011-02-22 00:00:00,4000 Block Greenbriar Blvd,Vandalism
380,2009-07-10 00:00:00,2727 Block 29th St,Trespassing
381,2008-12-22 00:00:00,1800 Block Yaupon Ave,Theft From Vehicle
382,2008-07-18 00:00:00,2300 Block 30th St,Incident
383,2009-10-30 00:00:00,1600 Block 29th St,Theft From Vehicle
384,2008-08-07 00:00:00,2800 Block Shadow Creek Dr,Burglary
385,2011-10-28 00:00:00,1900 Block Walnut St,Vandalism
386,2010-12-14 00:00:00,2700 Block Moorhead Ave,Vandalism
387,2011-11-12 00:00:00,800 Block 34th St,Trespassing
388,2012-06-08 00:00:00,1600 Block 28th St,Vandalism
389,2012-05-05 00:00:00,2000 Block Columbine Ave,Trespassing
390,2009-01-19 00:00:00,2100 Block Walnut St,Burglary
391,2008-02-03 00:00:00,800 Block Gillaspie Dr,Vandalism
392,2010-02-21 00:00:00,3600 Block Table Mesa Dr,Trespassing
393,2010-01-13 00:00:00,4000 Block Hanover Av,Trespassing
394,2008-01-10 00:00:00,1900 Block 3rd St,Vandalism
395,2008-06-07 00:00:00,3400 Block Eastman Ave,Vandalism
396,2010-06-30 00:00:00,1700 Block 6th St,Theft From Vehicle
397,2012-01-06 00:00:00,600 Block Manhattan Pl,Theft Of Car Parts
398,2010-04-08 00:00:00,700 Block 30th St,Vandalism
399,2009-04-07 00:00:00,1000 Block 11th St,Vandalism
400,2008-04-14 00:00:00,9th St & College Ave,Sex Assault
401,2008-07-01 00:00:00,1000 Block 9th St,Vandalism
